iptelnet;porta;label;rede_origem;status_telnet;status_ping;
10.192.72.135;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.136;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.137;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.138;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.139;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.140;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.141;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.142;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.143;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.144;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.145;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.146;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.147;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.148;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.149;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.150;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.151;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.152;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.153;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.154;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.155;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.156;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.157;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.158;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.159;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.160;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.161;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.162;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.163;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.164;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.165;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.166;22;Tuffin 37308;10.192.72.0/24;naook;falha;
